PPG 星河瑟满断寥声,流苒光汩不成行,山惨川增自更平,长去天翮有何尽
EBPG 明月清华满物风,欢然长夜照天中,孤舟自有同容乐,楼阁空通水气东
PPG 春风怨泪自悲离,桃落花人不断时,杨柳无愁吹鬓笛,燕颔莺生已感迟
PPG 沙场战猎万风波,龙籍城侣飞千壑,铁马空嘶一地多,金策戈歌过九罗
SMT 春风花头江起时,桃面灼开日落石,杨柳青丝栽不看,燕来一是纹差池
RNNPG 河漏星填月不人,风吹寒切太凉帆,桃行独上红春尽,流一江泠愁照声
EBPG 星河夜落水江天,流色光波照翠边,山逦川增无处见,长茫云月有人眠
EBPG 明月娟空夜古风,不知长寐照寒光,孤舟自恨无伤处,楼阁何能怨断肠
PPG 春风舞浩乐和清,桃暖花开有自成,柳菲杨岸齐丝色,燕颔欣随宴喜莺
PPG 星河帝汉满辉光,流苒潋波清水阕,山祷川增乐气央,天长正在永澄章
PPG 明月清辉自满然,长回夜乐一歌面,孤舟正入气无边,楼阁且和云上景
RNNPG 月明啼夜不弦中,长落吹风雪梦声,孤舟何去在烟尽,水备猿桐照北君
SMT 星空香燕烛云间,流户东光思月影,天竺南蒙不送如,长地还声吹两尽
RNNPG 花无长上春开落,桃欲不愁多有歌,柳杨青栽笛离限,梅衣满雨尽人声
SMT 明月中楼看芦花,长风落上顺多下,孤舟一去何浪兀,江山桐水是台嘉
PPG 月悲明夜自秋生,长风不恨无愁尽,孤水舟滩更已情,楼上何成伤古影
ANMT 春风吹怨伤秋笳,潘郎离妇不愁花,桃李红裙两欲情,燕差凤凰縠自声
RNNPG 月夜云生檐不霜,长空无思梦中春,流桃随水已花然,更惜楼池鲜晓烟
EBPG 星河夜落耿愁空,流水光波照不中,此处山川无感慨,长风天上有悲鸿
RNNPG 月明啼夜不弦中,长报无愁梦殿春,舟何犹在孤烟去,更半楼声阁入情
SMT 沙场丝猎邑漫于,龙家出入为南逐,铁马数衣处应城,金袍唯道王楼去
ANMT 清月生前不夜中,长空愁泪有流声,谩怜桃水罗花然,楼阁金吹人起王
ANMT 星空无恨不香云,流镜罗宫女玉间,岂将天竺此行时,长侯落舞愁花尽
RNNPG 沙猎场邑白漫于,城龙南战一不古,围中马塞御衣君,金箸取绝离弹处
ANMT 明月生前草镂人,长堂惜夜无空蛩,孤舟不叹影心中,楼阁金吹花更峰
PPG 星河北满落南城,流苒光耗一山长,川越惨陵江处去,天过飞年不见平
EBPG 沙场出战马云头,龙凤城台入虎游,铁地塞河嘶玉箭,金长戈里上银州
SMT 春风花头千濯枝,妍郎不向莫初里,桃分红施上欲时,燕差如堪纹语池
RNNPG 春风怨不无声情,愁古成妍楚素空,桃李堪阴种叶泪,燕雀争巢自亦伤
RNNPG 星空云燕凌初多,流玉光声水夜罗,不有天沉竺月悄,长难知正晓无飞
ANMT 星河无苦易云人,发断寒风恻怨凉,桃林何处不愁中,江流水尽可塞声
EBPG 春风和物乐华开,桃树花时满水来,杨柳绿阴歌自合,燕泥红气颔相裁
ANMT 明月生前草镂人,长风蝉起不无声,孤舟何处忍弦泪,江水猿流有断君
ANMT 槿花春发不管人,桃迷鉴落磊开芳,杨柳青栽水树中,梅叶梨郎泪满园
ANMT 星河无苦易云人,流间光水古罗宫,山川不断哀千中,长天空叫至声行
EBPG 春风凄古怨生愁,花落桃墙泪不休,杨柳暗啼无断绪,燕泥犹入颔梁楼
ANMT 春风吹怨伤秋笳,桃花不向欲愁声,杨柳水丝蝉为折,燕差自惊楚下家
EBPG 春风好得老家花,桃李夭开有种华,杨柳不知栽小色,杏阴犹与燕新差
EBPG 星河天夜晓然光,流色汩辉照水茫,山逦川中皆丽气,长王云里有清阳
ANMT 沙人无帝不销城,哀树龙宵入空尽,今马黄中如何路,金风花忍管国前
PPG 月明夜满白山来,长风一里回灯在,孤泊舟洋不见开,楼上何生无处台
PPG 春风好二自花开,桃浪红园有不来,杨柳青阴相似上,燕颔飞帘喜得猜
SMT 星河烛照香金人,流户波光雾指宫,山战九出一玉川,长地还天见舞声
SMT 明月楼中不看前,长来春夜上叔清,孤舟下去一寒浪,晓阁鲜过更应望
SMT 不初缺月展霜团,长空无向细多间,流水知花桃下见,楼来更作晓鲜中
RNNPG 河漏星填月不人,流光疑梦水罗清,山川目满刀州尽,应得长难夜尺天
SMT 星河照金香坐烛,玉风禁露翠前雨,桃鸟红林影落开,江尽锦流无见语
EBPG 明月夜江风过满,长灯欢寐照清静,孤舟自客不知处,楼阁一家还在梦
RNNPG 春风怨不无声情,桃磊落花愁梦伤,杨柳离中笛限易,燕雀巢如争泪成
SMT 花园风春人边溪,桃面灼叶傍石已,杨柳青丝落自中,梅水岭时独莫意
