train loss 6.255620 , learning_rate = 0.001955 , time used 29.084261(s)
train loss 5.536614 , learning_rate = 0.000977 , time used 28.014848(s)
train loss 5.211190 , learning_rate = 0.000767 , time used 28.188445(s)
train loss 4.969969 , learning_rate = 0.000641 , time used 28.309364(s)
train loss 4.790544 , learning_rate = 0.000562 , time used 28.260057(s)
train loss 4.642709 , learning_rate = 0.000504 , time used 28.146635(s)
train loss 4.517518 , learning_rate = 0.000459 , time used 28.125824(s)
train loss 4.410420 , learning_rate = 0.000424 , time used 28.284463(s)
train loss 4.321262 , learning_rate = 0.000398 , time used 28.345259(s)
train loss 4.232933 , learning_rate = 0.000373 , time used 28.145771(s)
train loss 4.148537 , learning_rate = 0.000350 , time used 28.268256(s)
train loss 4.073756 , learning_rate = 0.000331 , time used 28.257097(s)
train loss 4.005008 , learning_rate = 0.000315 , time used 28.222192(s)
train loss 3.940960 , learning_rate = 0.000300 , time used 28.137720(s)
train loss 3.880065 , learning_rate = 0.000287 , time used 28.228508(s)
train loss 3.826598 , learning_rate = 0.000276 , time used 28.234559(s)
train loss 3.772801 , learning_rate = 0.000265 , time used 28.265241(s)
train loss 3.715294 , learning_rate = 0.000254 , time used 28.225593(s)
train loss 3.661317 , learning_rate = 0.000245 , time used 28.215464(s)
train loss 3.614885 , learning_rate = 0.000237 , time used 28.251485(s)
train loss 3.572344 , learning_rate = 0.000231 , time used 29.490211(s)
train loss 3.537366 , learning_rate = 0.000227 , time used 27.901457(s)
train loss 3.524011 , learning_rate = 0.000225 , time used 27.998165(s)
train loss 3.504829 , learning_rate = 0.000223 , time used 28.105876(s)
train loss 3.452838 , learning_rate = 0.000218 , time used 28.142775(s)
train loss 3.398415 , learning_rate = 0.000214 , time used 28.151806(s)
train loss 3.350060 , learning_rate = 0.000210 , time used 28.221394(s)
train loss 3.307509 , learning_rate = 0.000207 , time used 27.922342(s)
train loss 3.269250 , learning_rate = 0.000205 , time used 28.430693(s)
train loss 3.235664 , learning_rate = 0.000203 , time used 28.416044(s)
